0,0921
0,1808
0,3232
0,4504
0,4938
0,9477
1,0092
1,3407
1,3453
2,2511
2,4002
3,5855
4,3229
3,3446
3,5235
4,779
5,9888
7,4734
10,0206
8,6654
9,5403
9,0978
9,4799
10,7316
11,5804
12,7546
17,408
18,9545
11,4826
9,8594
11,2632
12,55
13,8277
12,5372
9,8567
10,4253
11,1545
11,8462
12,3027
14,4692
13,5925
17,249
15,9441
17,4574
16,9934
17,3536
18,4769
23,2212
26,0534
29,6046
34,4977
30,948
29,8168
30,5912
31,9735
34,0967
32,43
30,7173
32,7408
36,1605
40,4272
33,2743
40,7716
36,187
39,6558
41,1563
41,5112
42,7508
47,8116
51,8815
49,724
59,261
51,3446
48,003
49,1943
70,6145
82,7265
68,1794
88,4824
84,6828
101,4598
101,7887
81,2313
67,425
65,7795
80,1933
80,512
72,7493
90,8619
74,6146
81,2056
88,7965
85,7487
104,8569
110,5203
83,6905
99,1373
99,8075
91,6718
103,9084
108,0826
123,392
117,1128
107,2448
180,7825
117,9971
121,3074
215,5222
162,6416
123,8142
192,9319
180,5265
185,0824
123,0888
139,3429
191,7199
190,5868
149,3077
171,8119
182,573
198,0863
165,424
216,0811
145,2234
154,3442
148,7893
151,3863
157,1097
156,683
167,9893
221,9827
336,8119
187,0975
164,7006
166,7406
173,9502
305,0702
290,053
204,6936
312,5067
204,0676
204,6902
190,4312
192,5698
240,7345
222,8964
307,0227
204,1484
249,1444
268,6898
220,0102
226,8221
259,4844
245,4701
231,244
323,9919
231,0514
236,4104
344,0132
301,7463
323,9156
357,329
254,1617
265,827
320,2463
331,9823
336,3713
395,9903
297,6394
305,1993
281,6813
294,0497
424,7688
299,1218
350,0869
418,0146
322,0006
415,5373
349,2204
344,899
461,7544
447,8979
473,7879
321,1042
352,5639
439,1731
333,9706
401,836
386,3514
465,3221
505,6361
375,8221
407,9056
389,2957
445,5369
425,6278
390,2378
445,8774
